"scanid","X","trial_order","pid","time","group","list","task","run.order","rerun","original.run","num1","num2","num3","correct.answer","offset","category","probset","iti_onset","iti_duration","stim_onset","stim_duration","response","accuracy","cumulative.response.time","response.time","timedout","rtcorrect","rerun.order","taskname","training_group"
"9228_1_1.3T2",3,4,108,"pre","VNT",1,"grid",1,0,3,24,0,25,2,1,"large double","Control_Acc",34.529,4,38.524,6,2,1,40.601,2.08,0,2.08,NA,"grid1","A"
"9228_1_1.3T2",6,7,100,"pre","VNT",1,"grid",1,0,3,9,0,7,1,-2,"large single","Control_Acc",65.515,7.6,73.124,6,1,1,74.961,1.84,0,1.84,NA,"grid1","A"
"9228_1_1.3T2",7,8,104,"pre","VNT",1,"grid",1,0,3,17,0,19,2,2,"small double","Control_Acc",79.117,4.2,83.329,6,2,1,86.737,3.41,0,3.41,NA,"grid1","A"
"9228_1_1.3T2",12,13,102,"pre","VNT",1,"grid",1,0,3,12,0,10,1,-2,"large single","Control_Acc",138.825,5.6,144.423,6,1,1,146.692,2.272,0,2.272,NA,"grid1","A"
"9228_1_1.3T2",16,17,106,"pre","VNT",1,"grid",1,0,3,20,0,19,1,-1,"large double","Control_Acc",187.827,4.4,192.227,6,1,1,196.629,4.405,0,4.405,NA,"grid1","A"
"9228_1_1.3T2",17,18,98,"pre","VNT",1,"grid",1,0,3,4,0,7,2,3,"small single","Control_Acc",198.234,7.2,205.426,6,2,1,206.897,1.474,0,1.474,NA,"grid1","A"
"9228_1_1.3T2",5,6,76,"pre","VNT",1,"grid",1,0,3,4,5,6,1,-3,"small single","Trained_Acc",55.408,4.1,59.504,6,1,1,62.825,3.324,0,3.324,NA,"grid1","A"
"9228_1_1.3T2",8,9,84,"pre","VNT",1,"grid",1,0,3,6,19,28,2,3,"large double","Trained_Acc",89.325,4.4,93.703,6,2,1,98.912,5.211,0,5.211,NA,"grid1","A"
"9228_1_1.3T2",9,10,74,"pre","VNT",1,"grid",1,0,3,2,6,7,1,-1,"small single","Trained_Acc",99.731,6.5,106.208,6,1,1,110.545,4.34,0,4.34,NA,"grid1","A"
"9228_1_1.3T2",0,1,80,"pre","VNT",1,"grid",1,0,3,4,12,15,1,-1,"small double","Trained_InAcc",0.001,6.5,6.506,6,2,0,9.418,2.915,0,NA,NA,"grid1","A"
"9228_1_1.3T2",14,15,78,"pre","VNT",1,"grid",1,0,3,9,4,16,2,3,"large single","Trained_InAcc",163.917,7.6,171.51,6,NA,0,NA,NA,1,NA,NA,"grid1","A"
"9228_1_1.3T2",15,16,82,"pre","VNT",1,"grid",1,0,3,14,9,25,2,2,"large double","Trained_InAcc",177.504,4.3,181.816,6,NA,0,NA,NA,1,NA,NA,"grid1","A"
"9228_1_1.3T2",1,2,90,"pre","VNT",1,"grid",1,0,3,4,8,13,2,1,"large single","Untrained_Acc",12.501,5.7,18.211,6,2,1,22.449,4.241,0,4.241,NA,"grid1","A"
"9228_1_1.3T2",4,5,92,"pre","VNT",1,"grid",1,0,3,13,2,14,1,-1,"small double","Untrained_Acc",44.517,4.9,49.414,6,1,1,53.007,3.596,0,3.596,NA,"grid1","A"
"9228_1_1.3T2",10,11,86,"pre","VNT",1,"grid",1,0,3,5,3,10,2,2,"small single","Untrained_Acc",112.202,7.6,119.811,6,2,1,124.398,4.589,0,4.589,NA,"grid1","A"
"9228_1_1.3T2",11,12,94,"pre","VNT",1,"grid",1,0,3,4,18,23,2,1,"large double","Untrained_Acc",125.805,7,132.815,6,2,1,138.231,5.419,0,5.419,NA,"grid1","A"
"9228_1_1.3T2",13,14,88,"pre","VNT",1,"grid",1,0,3,8,2,7,1,-3,"small single","Untrained_Acc",150.43,7.5,157.906,6,1,1,161.944,4.04,0,4.04,NA,"grid1","A"
"9228_1_1.3T2",2,3,96,"pre","VNT",1,"grid",1,0,3,17,8,23,1,-2,"large double","Untrained_InAcc",24.205,4.3,28.501,6,NA,0,NA,NA,1,NA,NA,"grid1","A"
"9228_1_1.3T2",2,3,136,"pre","VNT",1,"grid",2,0,4,8,0,9,2,1,"large single","Control_Acc",24.207,4.3,28.522,6,2,1,31.932,3.415,0,3.415,NA,"grid1","A"
"9228_1_1.3T2",6,7,142,"pre","VNT",1,"grid",2,0,4,21,0,18,1,-3,"large double","Control_Acc",65.519,7.6,73.128,6,1,1,75.37,2.245,0,2.245,NA,"grid1","A"
"9228_1_1.3T2",7,8,138,"pre","VNT",1,"grid",2,0,4,13,0,16,2,3,"large single","Control_Acc",79.123,4.2,83.317,6,2,1,85.381,2.067,0,2.067,NA,"grid1","A"
"9228_1_1.3T2",12,13,144,"pre","VNT",1,"grid",2,0,4,25,0,24,1,-1,"large double","Control_Acc",138.83,5.6,144.424,6,1,1,147.067,2.646,0,2.646,NA,"grid1","A"
"9228_1_1.3T2",13,14,140,"pre","VNT",1,"grid",2,0,4,16,0,18,2,2,"small double","Control_Acc",150.435,7.5,157.927,6,2,1,159.808,1.884,0,1.884,NA,"grid1","A"
"9228_1_1.3T2",16,17,134,"pre","VNT",1,"grid",2,0,4,5,0,4,1,-1,"small single","Control_Acc",187.832,4.4,192.242,6,1,1,194.013,1.773,0,1.773,NA,"grid1","A"
"9228_1_1.3T2",0,1,110,"pre","VNT",1,"grid",2,0,4,6,3,8,1,-1,"small single","Trained_Acc",0.001,6.5,6.511,6,1,1,10.831,4.323,0,4.323,NA,"grid1","A"
"9228_1_1.3T2",5,6,120,"pre","VNT",1,"grid",2,0,4,5,18,20,1,-3,"large double","Trained_Acc",55.413,4.1,59.509,6,1,1,63.218,3.712,0,3.712,NA,"grid1","A"
"9228_1_1.3T2",8,9,114,"pre","VNT",1,"grid",2,0,4,5,7,9,1,-3,"large single","Trained_Acc",89.33,4.4,93.708,6,1,1,97.297,3.592,0,3.592,NA,"grid1","A"
"9228_1_1.3T2",9,10,116,"pre","VNT",1,"grid",2,0,4,12,5,18,2,1,"small double","Trained_Acc",99.702,6.5,106.212,6,2,1,112.123,5.914,0,5.914,NA,"grid1","A"
"9228_1_1.3T2",17,18,118,"pre","VNT",1,"grid",2,0,4,5,14,20,2,1,"small double","Trained_Acc",198.222,7.2,205.414,6,2,1,210.352,4.94,0,4.94,NA,"grid1","A"
"9228_1_1.3T2",11,12,112,"pre","VNT",1,"grid",2,0,4,7,3,11,2,1,"small single","Trained_InAcc",125.81,7,132.802,6,1,0,136.375,3.575,0,NA,NA,"grid1","A"
"9228_1_1.3T2",1,2,128,"pre","VNT",1,"grid",2,0,4,3,14,20,2,3,"small double","Untrained_Acc",12.505,5.7,18.216,6,2,1,22.738,4.527,0,4.527,NA,"grid1","A"
"9228_1_1.3T2",4,5,122,"pre","VNT",1,"grid",2,0,4,2,7,11,2,2,"small single","Untrained_Acc",44.507,4.9,49.402,6,2,1,53.463,4.066,0,4.066,NA,"grid1","A"
"9228_1_1.3T2",15,16,130,"pre","VNT",1,"grid",2,0,4,18,2,21,2,1,"small double","Untrained_Acc",177.525,4.3,181.804,6,2,1,184.563,2.762,0,2.762,NA,"grid1","A"
"9228_1_1.3T2",3,4,124,"pre","VNT",1,"grid",2,0,4,4,6,7,1,-3,"small single","Untrained_InAcc",34.533,4,38.513,6,NA,0,NA,NA,1,NA,NA,"grid1","A"
"9228_1_1.3T2",10,11,126,"pre","VNT",1,"grid",2,0,4,9,3,11,1,-1,"large single","Untrained_InAcc",112.223,7.6,119.815,6,2,0,124.637,4.824,0,NA,NA,"grid1","A"
"9228_1_1.3T2",14,15,132,"pre","VNT",1,"grid",2,0,4,16,7,21,1,-2,"large double","Untrained_InAcc",163.922,7.6,171.514,6,NA,0,NA,NA,1,NA,NA,"grid1","A"
"9228_1_1.3T2",2,3,70,"pre","VNT",1,"grid",3,0,2,18,0,15,1,-3,"small double","Control_Acc",24.229,4.3,28.529,6,1,1,32.213,3.687,0,3.687,NA,"grid1","A"
"9228_1_1.3T2",7,8,72,"pre","VNT",1,"grid",3,0,2,23,0,26,2,3,"large double","Control_Acc",79.107,4.2,83.319,6,2,1,85.792,2.476,0,2.476,NA,"grid1","A"
"9228_1_1.3T2",8,9,64,"pre","VNT",1,"grid",3,0,2,7,0,10,2,3,"small single","Control_Acc",89.33,4.4,93.726,6,2,1,95.731,2.008,0,2.008,NA,"grid1","A"
"9228_1_1.3T2",12,13,68,"pre","VNT",1,"grid",3,0,2,15,0,16,2,1,"small double","Control_Acc",138.815,5.6,144.426,6,2,1,146.182,1.76,0,1.76,NA,"grid1","A"
"9228_1_1.3T2",13,14,66,"pre","VNT",1,"grid",3,0,2,10,0,9,1,-1,"large single","Control_Acc",150.427,7.5,157.928,6,1,1,159.434,1.509,0,1.509,NA,"grid1","A"
"9228_1_1.3T2",16,17,62,"pre","VNT",1,"grid",3,0,2,3,0,5,2,2,"small single","Control_Acc",187.83,4.4,192.227,6,2,1,194.281,2.056,0,2.056,NA,"grid1","A"
"9228_1_1.3T2",5,6,38,"pre","VNT",1,"grid",3,0,2,5,2,9,2,2,"small single","Trained_Acc",55.413,4.1,59.51,6,2,1,62.733,3.226,0,3.226,NA,"grid1","A"
"9228_1_1.3T2",14,15,44,"pre","VNT",1,"grid",3,0,2,2,16,15,1,-3,"small double","Trained_Acc",163.925,7.6,171.515,6,1,1,174.857,3.344,0,3.344,NA,"grid1","A"
"9228_1_1.3T2",17,18,46,"pre","VNT",1,"grid",3,0,2,17,3,19,1,-1,"small double","Trained_Acc",198.222,7.2,205.415,6,1,1,208.678,3.266,0,3.266,NA,"grid1","A"
"9228_1_1.3T2",0,1,42,"pre","VNT",1,"grid",3,0,2,6,9,14,1,-1,"large single","Trained_InAcc",0.001,6.5,6.512,6,2,0,12.322,5.813,0,NA,NA,"grid1","A"
"9228_1_1.3T2",6,7,40,"pre","VNT",1,"grid",3,0,2,5,8,11,1,-2,"large single","Trained_InAcc",65.504,7.6,73.112,6,2,0,78.484,5.375,0,NA,NA,"grid1","A"
"9228_1_1.3T2",11,12,48,"pre","VNT",1,"grid",3,0,2,16,8,26,2,2,"large double","Trained_InAcc",125.811,7,132.804,6,NA,0,NA,NA,1,NA,NA,"grid1","A"
"9228_1_1.3T2",1,2,52,"pre","VNT",1,"grid",3,0,2,7,6,12,1,-1,"large single","Untrained_Acc",12.506,5.7,18.217,6,1,1,22.123,3.908,0,3.908,NA,"grid1","A"
"9228_1_1.3T2",4,5,54,"pre","VNT",1,"grid",3,0,2,8,7,14,1,-1,"large single","Untrained_Acc",44.508,4.9,49.403,6,1,1,55.292,5.892,0,5.892,NA,"grid1","A"
"9228_1_1.3T2",9,10,56,"pre","VNT",1,"grid",3,0,2,13,5,20,2,2,"small double","Untrained_Acc",99.719,6.5,106.213,6,2,1,112.136,5.926,0,5.926,NA,"grid1","A"
"9228_1_1.3T2",15,16,58,"pre","VNT",1,"grid",3,0,2,6,14,22,2,2,"small double","Untrained_Acc",177.51,4.3,181.806,6,2,1,186.363,4.561,0,4.561,NA,"grid1","A"
"9228_1_1.3T2",3,4,50,"pre","VNT",1,"grid",3,0,2,3,4,9,2,2,"small single","Untrained_InAcc",34.519,4,38.513,6,NA,0,NA,NA,1,NA,NA,"grid1","A"
"9228_1_1.3T2",10,11,60,"pre","VNT",1,"grid",3,0,2,5,19,22,1,-2,"large double","Untrained_InAcc",112.222,7.6,119.816,6,2,0,124.858,5.045,0,NA,NA,"grid1","A"
"9228_1_1.3T2",2,3,28,"pre","VNT",1,"grid",4,0,1,6,0,5,1,-1,"small single","Control_Acc",24.226,4.3,28.52,6,1,1,31.691,3.174,0,3.174,NA,"grid1","A"
"9228_1_1.3T2",7,8,36,"pre","VNT",1,"grid",4,0,1,22,0,21,1,-1,"large double","Control_Acc",79.105,4.2,83.336,6,1,1,84.99,1.657,0,1.657,NA,"grid1","A"
"9228_1_1.3T2",8,9,32,"pre","VNT",1,"grid",4,0,1,14,0,15,2,1,"small double","Control_Acc",89.329,4.4,93.722,6,2,1,95.352,1.633,0,1.633,NA,"grid1","A"
"9228_1_1.3T2",12,13,30,"pre","VNT",1,"grid",4,0,1,11,0,12,2,1,"large single","Control_Acc",138.812,5.6,144.426,6,2,1,146.579,2.156,0,2.156,NA,"grid1","A"
"9228_1_1.3T2",13,14,34,"pre","VNT",1,"grid",4,0,1,19,0,17,1,-2,"small double","Control_Acc",150.434,7.5,157.926,6,1,1,160.184,2.26,0,2.26,NA,"grid1","A"
"9228_1_1.3T2",16,17,26,"pre","VNT",1,"grid",4,0,1,2,0,5,2,3,"small single","Control_Acc",187.813,4.4,192.225,6,2,1,193.397,1.174,0,1.174,NA,"grid1","A"
"9228_1_1.3T2",0,1,12,"pre","VNT",1,"grid",4,0,1,19,7,28,2,2,"large double","Trained_Acc",0.001,6.5,6.509,6,2,1,9.313,2.806,0,2.806,NA,"grid1","A"
"9228_1_1.3T2",9,10,2,"pre","VNT",1,"grid",4,0,1,2,4,3,1,-3,"small single","Trained_Acc",99.717,6.5,106.211,6,1,1,109.098,2.89,0,2.89,NA,"grid1","A"
"9228_1_1.3T2",17,18,4,"pre","VNT",1,"grid",4,0,1,8,6,12,1,-2,"large single","Trained_Acc",198.219,7.2,205.412,6,1,1,210.118,4.708,0,4.708,NA,"grid1","A"
"9228_1_1.3T2",5,6,8,"pre","VNT",1,"grid",4,0,1,13,6,18,1,-1,"small double","Trained_InAcc",55.411,4.1,59.507,6,2,0,64.397,4.892,0,NA,NA,"grid1","A"
