,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,42,9063_1_1.3T2,pre,NCC,1,grid,3,0,2,6,9,14,1,-1,large single,A,0.001,6.5,6.515,6,2,0,8.408,1.895
1,2,52,9063_1_1.3T2,pre,NCC,1,grid,3,0,2,7,6,12,1,-1,large single,B,12.51,5.7,18.204,6,1,1,21.428,3.226
2,3,70,9063_1_1.3T2,pre,NCC,1,grid,3,0,2,18,0,15,1,-3,small double,Control,24.215,4.3,28.526,6,1,1,30.134,1.611
3,4,50,9063_1_1.3T2,pre,NCC,1,grid,3,0,2,3,4,9,2,2,small single,B,34.52,4.0,38.501,6,2,1,40.44,1.941
4,5,54,9063_1_1.3T2,pre,NCC,1,grid,3,0,2,8,7,14,1,-1,large single,B,44.511,4.9,49.407,6,2,0,50.915,1.511
5,6,38,9063_1_1.3T2,pre,NCC,1,grid,3,0,2,5,2,9,2,2,small single,A,55.4,4.1,59.514,6,2,1,61.752,2.241
6,7,40,9063_1_1.3T2,pre,NCC,1,grid,3,0,2,5,8,11,1,-2,large single,A,65.508,7.6,73.1,6,2,0,74.691,1.593
7,8,72,9063_1_1.3T2,pre,NCC,1,grid,3,0,2,23,0,26,2,3,large double,Control,79.111,4.2,83.343,6,2,1,85.3,1.959
8,9,64,9063_1_1.3T2,pre,NCC,1,grid,3,0,2,7,0,10,2,3,small single,Control,89.317,4.4,93.729,6,2,1,95.351,1.625
9,10,56,9063_1_1.3T2,pre,NCC,1,grid,3,0,2,13,5,20,2,2,small double,B,99.723,6.5,106.201,6,1,0,108.844,2.645
10,11,60,9063_1_1.3T2,pre,NCC,1,grid,3,0,2,5,19,22,1,-2,large double,B,112.211,7.6,119.804,6,2,0,121.431,1.63
11,12,48,9063_1_1.3T2,pre,NCC,1,grid,3,0,2,16,8,26,2,2,large double,A,125.814,7.0,132.808,6,2,1,133.703,0.898
12,13,68,9063_1_1.3T2,pre,NCC,1,grid,3,0,2,15,0,16,2,1,small double,Control,138.819,5.6,144.451,6,2,1,145.886,1.438
13,14,66,9063_1_1.3T2,pre,NCC,1,grid,3,0,2,10,0,9,1,-1,large single,Control,150.424,7.5,157.935,6,1,1,159.604,1.672
14,15,44,9063_1_1.3T2,pre,NCC,1,grid,3,0,2,2,16,15,1,-3,small double,A,163.927,7.6,171.503,6,1,1,173.911,2.411
15,16,58,9063_1_1.3T2,pre,NCC,1,grid,3,0,2,6,14,22,2,2,small double,B,177.531,4.3,181.81,6,2,1,182.937,1.129
16,17,62,9063_1_1.3T2,pre,NCC,1,grid,3,0,2,3,0,5,2,2,small single,Control,187.803,4.4,192.25,6,2,1,193.969,1.722
17,18,46,9063_1_1.3T2,pre,NCC,1,grid,3,0,2,17,3,19,1,-1,small double,A,198.226,7.2,205.403,6,2,0,207.028,1.628
