,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,479,9181_1_1.3T2,pre,VNT,4,sym,1,0,2,6,18,26,2,2,large double,A,0.001,6.5,6.509,6,2,1,9.625,3.119
1,2,483,9181_1_1.3T2,pre,VNT,4,sym,1,0,2,6,7,13,1,0,large single,B,12.503,5.7,18.214,6,1,1,19.599,1.387
2,3,487,9181_1_1.3T2,pre,VNT,4,sym,1,0,2,3,15,18,1,0,small double,B,24.206,4.3,28.505,6,1,1,30.804,2.302
3,4,503,9181_1_1.3T2,pre,VNT,4,sym,1,0,2,23,0,23,1,0,large double,Control,34.515,4.0,38.529,6,2,0,39.612,1.085
4,5,485,9181_1_1.3T2,pre,VNT,4,sym,1,0,2,7,8,16,2,1,large single,B,44.523,4.9,49.401,6,2,1,52.516,3.118
5,6,477,9181_1_1.3T2,pre,VNT,4,sym,1,0,2,7,13,20,1,0,small double,A,55.411,4.1,59.507,6,1,1,62.107,2.604
6,7,475,9181_1_1.3T2,pre,VNT,4,sym,1,0,2,12,6,18,1,0,small double,A,65.501,7.6,73.11,6,1,1,75.944,2.836
7,8,497,9181_1_1.3T2,pre,VNT,4,sym,1,0,2,10,0,10,1,0,large single,Control,79.104,4.2,83.335,6,1,1,85.117,1.785
8,9,493,9181_1_1.3T2,pre,VNT,4,sym,1,0,2,3,0,1,2,-2,small single,Control,89.329,4.4,93.724,6,2,1,95.789,2.068
9,10,489,9181_1_1.3T2,pre,VNT,4,sym,1,0,2,16,4,20,1,0,small double,B,99.718,6.5,106.211,6,1,1,108.412,2.204
10,11,491,9181_1_1.3T2,pre,VNT,4,sym,1,0,2,15,9,24,1,0,large double,B,112.205,7.6,119.815,6,1,1,122.797,2.985
11,12,473,9181_1_1.3T2,pre,VNT,4,sym,1,0,2,9,6,13,2,-2,large single,A,125.808,7.0,132.802,6,2,1,135.118,2.319
12,13,501,9181_1_1.3T2,pre,VNT,4,sym,1,0,2,18,0,17,2,-1,small double,Control,138.812,5.6,144.424,6,2,1,146.573,2.151
13,14,499,9181_1_1.3T2,pre,VNT,4,sym,1,0,2,15,0,18,2,3,small double,Control,150.418,7.5,157.927,6,2,1,159.294,1.369
14,15,471,9181_1_1.3T2,pre,VNT,4,sym,1,0,2,8,5,13,1,0,large single,A,163.921,7.6,171.513,6,1,1,174.379,2.869
15,16,469,9181_1_1.3T2,pre,VNT,4,sym,1,0,2,2,5,4,2,-3,small single,A,177.508,4.3,181.803,6,2,1,185.252,3.452
16,17,481,9181_1_1.3T2,pre,VNT,4,sym,1,0,2,4,3,10,2,3,small single,B,187.814,4.4,192.21,6,2,1,194.477,2.269
17,18,495,9181_1_1.3T2,pre,VNT,4,sym,1,0,2,7,0,6,2,-1,small single,Control,198.204,7.2,205.431,6,2,1,207.363,1.934
