,trial_order,pid,scanid,time,group,list,task,run order,rerun,original run,num1,num2,num3,correct answer,offset,category,probset,iti_onset,iti_duration,stim_onset,stim_duration,response,accuracy,cumulative response time,response time
0,1,275,9409_1_1.3T2,pre,SPT,2,sym,1,1,4,7,16,21,2,-2,large double,B,0.001,6.5,6.503,6,1,0,8.853,2.352
1,2,273,9409_1_1.3T2,pre,SPT,2,sym,1,1,4,2,18,23,2,3,small double,B,12.514,5.4,17.908,6,2,1,19.976,2.07
2,3,263,9409_1_1.3T2,pre,SPT,2,sym,1,1,4,18,5,23,1,0,large double,A,23.903,4.4,28.315,6,1,1,32.114,3.802
3,4,281,9409_1_1.3T2,pre,SPT,2,sym,1,1,4,13,0,13,1,0,large single,Control,34.309,5.0,39.322,6,1,1,40.555,1.235
4,5,265,9409_1_1.3T2,pre,SPT,2,sym,1,1,4,7,2,11,2,2,small single,B,45.348,7.6,52.908,6,2,1,55.093,2.19
5,6,277,9409_1_1.3T2,pre,SPT,2,sym,1,1,4,5,0,7,2,2,small single,Control,58.902,8.0,66.94,6,2,1,68.861,1.924
6,7,283,9409_1_1.3T2,pre,SPT,2,sym,1,1,4,16,0,16,1,0,small double,Control,72.923,4.1,77.019,6,1,1,78.335,1.32
7,8,271,9409_1_1.3T2,pre,SPT,2,sym,1,1,4,14,3,17,1,0,small double,B,83.033,4.1,87.107,6,1,1,91.024,3.921
8,9,279,9409_1_1.3T2,pre,SPT,2,sym,1,1,4,8,0,11,2,3,large single,Control,93.101,7.4,100.548,6,2,1,102.162,1.619
9,10,261,9409_1_1.3T2,pre,SPT,2,sym,1,1,4,14,5,19,1,0,small double,A,106.546,6.9,113.414,6,1,1,116.2,2.79
10,11,269,9409_1_1.3T2,pre,SPT,2,sym,1,1,4,3,9,12,1,0,large single,B,119.409,7.1,126.502,6,1,1,128.62,2.122
11,12,259,9409_1_1.3T2,pre,SPT,2,sym,1,1,4,5,12,19,2,2,small double,A,132.512,5.2,137.707,6,2,1,141.157,3.454
12,13,255,9409_1_1.3T2,pre,SPT,2,sym,1,1,4,3,7,11,2,1,small single,A,143.702,4.3,148.014,6,2,1,151.446,3.435
13,14,267,9409_1_1.3T2,pre,SPT,2,sym,1,1,4,6,4,12,2,2,small single,B,154.008,4.7,158.703,6,2,1,160.67,1.97
14,15,287,9409_1_1.3T2,pre,SPT,2,sym,1,1,4,25,0,25,1,0,large double,Control,164.714,4.3,169.029,6,1,1,170.194,1.168
15,16,253,9409_1_1.3T2,pre,SPT,2,sym,1,1,4,3,6,9,1,0,small single,A,175.02,7.1,182.114,6,1,1,186.961,4.85
16,17,257,9409_1_1.3T2,pre,SPT,2,sym,1,1,4,7,5,13,2,1,large single,A,188.108,5.2,193.302,6,1,0,196.185,2.885
17,18,285,9409_1_1.3T2,pre,SPT,2,sym,1,1,4,21,0,21,1,0,large double,Control,199.313,4.3,203.626,6,1,1,204.843,1.219
